,G_richness,G_simpson,G_shannon
p01,1.798284252,1.765490717,2.026747061
p02,1.77934713,1.612537467,1.965695502
p03,1.854872546,1.824478332,2.166469486
p04,1.85518313,1.859840969,2.175692981
p05,1.847070485,1.787105358,2.149593669
p06,1.872362661,1.864056681,2.103505366
p07,1.879523854,1.87240741,2.073120541
p08,1.880310173,1.891516042,2.191575157
p09,1.858063163,1.884285093,2.151394109
p10,1.842546983,1.773949547,2.061111716
p11,1.835745412,1.735589198,1.999946654
p12,1.80165442,1.779144723,1.993439556
p13,1.838588021,1.789069066,2.067237519
p14,1.869080292,1.876741623,2.182389732
p15,1.756479732,1.598693373,1.797254426
p16,1.818054043,1.765135441,2.018361324
p17,1.802542862,1.68974843,2.039499498
p18,1.824508102,1.710942854,2.003368866
p19,1.887077805,1.92168382,2.209783312
p20,1.850230801,1.856998971,2.135675898
